date, pm25, pm10
2019/5/31, 51, 18
2019/6/1, 58, 17
2019/6/2, 51, 9
2019/6/3, 21, 10
2019/6/4, 28, 10
2019/6/5, 32, 12
2019/6/6, 37, 11
2019/6/7, 40, 13
2019/6/8, 48, 12
2019/6/9, 49, 9
2019/6/10, 26, 8
2019/6/11, 28, 11
2019/6/12, 40, 10
2019/6/13, 35, 10
2019/6/14, 36, 18
2019/6/15, 60, 11
2019/6/16, 40, 8
2019/6/17, 27, 8
2019/6/18, 27, 12
2019/6/19, 39, 13
2019/6/20, 39, 11
2019/6/21, 30, 11
2019/6/22, 35, 13
2019/6/23, 45, 17
2019/6/24, 57, 15
2019/6/25, 52, 13
2019/6/26, 48, 8
2019/6/27, 24, 7
2019/6/28, 17, 8
2019/6/29, 21, 9
2019/6/30, 27, 11
2022/7/3, , 5
2022/4/17, , 47
2022/4/20, , 28
2022/4/24, , 50
2022/5/1, , 28
2021/10/14, , 6
2021/11/7, , 28
2021/11/23, , 19
2021/7/13, , 7
2021/7/20, , 5
2021/7/31, , 9
2021/8/5, , 9
2021/9/1, , 16
2021/9/3, , 8
2021/9/10, , 10
2021/4/24, , 51
2021/5/12, , 14
2021/5/28, , 14
2021/3/2, , 53
2021/3/8, , 58
2021/3/10, , 92
2021/3/23, , 52
2020/10/26, , 10
2020/4/6, , 62
2020/4/13, , 50
2020/4/29, , 23
2020/5/9, , 31
2020/5/24, , 44
2020/6/23, , 10
2020/1/6, , 26
2020/1/19, , 65
2020/1/31, , 61
2020/3/1, , 73
2019/10/18, , 26
2019/10/31, , 11
2019/11/14, , 18
2019/11/20, , 21
2019/8/9, , 11
2019/9/12, , 8
2019/4/5, , 78
2019/4/21, , 51
2019/5/30, , 16
