date, pm25, pm10
2022/2/25, 122, 54
2022/2/26, 138, 58
2022/2/27, 149, 60
2022/2/28, 154, 61
2022/3/1, 156, 62
2022/3/2, 157, 62
2022/3/3, 157, 65
2022/3/4, 161, 59
2022/3/5, 149, 53
2022/3/6, 137, 56
2022/3/7, 142, 31
2022/3/8, 90, 40
2022/3/9, 106, 49
2022/3/10, 123, 52
2022/3/11, 133, 51
2022/3/12, 127, 53
2022/3/13, 137, 56
2022/3/14, 145, 51
2022/3/15, 127, 53
2022/3/16, 135, 54
2022/3/17, 140, 60
2022/3/18, 154, 55
2022/3/19, 141, 51
2022/3/20, 131, 28
2022/3/21, 83, 21
2022/3/22, 69, 13
2022/3/23, 53, 26
2022/3/24, 81, 42
2022/3/25, 107, 47
2022/3/26, 118, 53
2022/3/27, 136, 56
2022/3/28, 144, 52
2022/3/29, 135, 57
2022/3/30, 148, 56
2022/3/31, 146, 55
2021/10/1, 47, 11
2021/10/2, 47, 9
2021/10/3, 38, 13
2021/10/4, 50, 18
2021/10/5, 63, 16
2021/10/6, 57, 18
2021/10/7, 65, 19
2021/10/8, 66, 
2021/10/15, 23, 3
2021/10/16, 15, 4
2021/10/17, 15, 7
2021/10/18, 30, 13
2021/10/19, 50, 12
2021/10/20, 49, 9
2021/10/21, 39, 5
2021/10/22, 23, 5
2021/10/23, 21, 8
2021/10/24, 34, 16
2021/10/25, 60, 24
2021/10/26, 75, 32
2021/10/27, 91, 19
2021/10/28, 65, 23
2021/10/29, 75, 14
2021/10/30, 49, 14
2021/10/31, 55, 10
2021/11/1, 39, 10
2021/11/2, 44, 17
2021/11/3, 62, 18
2021/11/4, 63, 20
2021/11/5, 68, 25
2021/11/6, 79, 
2021/11/8, 87, 
2021/11/24, 66, 25
2021/11/25, 80, 30
2021/11/26, 88, 24
2021/11/27, 78, 16
2021/11/28, 60, 20
2021/11/29, 69, 25
2021/11/30, 78, 24
2021/12/1, 77, 32
2021/12/2, 91, 35
2021/12/3, 95, 36
2021/12/4, 99, 33
2021/12/5, 94, 36
2021/12/6, 99, 47
2021/12/7, 121, 52
2021/12/8, 130, 45
2021/12/9, 117, 36
2021/12/10, 100, 33
2021/12/11, 94, 36
2021/12/12, 100, 34
2021/12/13, 97, 34
2021/12/14, 96, 37
2021/12/15, 100, 35
2021/12/16, 97, 30
2021/12/17, 87, 35
2021/12/18, 97, 40
2021/12/19, 106, 43
2021/12/20, 109, 45
2021/12/21, 114, 43
2021/12/22, 110, 47
2021/12/23, 119, 47
2021/12/24, 119, 53
2021/12/25, 134, 53
2021/12/26, 134, 42
2021/12/27, 110, 34
2021/12/28, 96, 30
2021/12/29, 87, 24
2021/12/30, 76, 26
2021/12/31, 82, 35
2022/1/1, 100, 28
2022/1/2, 84, 29
2021/7/1, 23, 4
2021/7/2, 18, 9
2021/7/3, 41, 6
2021/7/4, 27, 7
2021/7/5, 26, 8
2021/7/6, 35, 6
2021/7/7, 24, 9
2021/7/8, 37, 6
2021/7/9, 25, 8
2021/7/10, 30, 
2021/7/14, 30, 8
2021/7/15, 34, 6
2021/7/16, 27, 5
2021/7/17, 22, 5
